site,sitename,date
TP,Tampa,2004-05-18
AT,Austin,2004-06-12
DV,Denver,2004-06-14
ST,Seattle,2004-02-23
AT,Austin,2004-02-22
DV,Denver,2004-04-20
AT,Austin,2004-05-01
DV,Denver,2004-05-06
DV,Denver,2004-05-13
DV,Denver,2004-03-10
ST,Seattle,2004-06-02
AT,Austin,2004-04-28
AT,Austin,2004-01-29
AT,Austin,2004-05-19
DV,Denver,2004-03-26
ST,Seattle,2004-06-16
TP,Tampa,2004-06-01
DV,Denver,2004-05-11
ST,Seattle,2004-03-04
AT,Austin,2004-05-11
AT,Austin,2004-06-03
AT,Austin,2004-01-01
ST,Seattle,2004-02-25
AT,Austin,2004-01-28
AT,Austin,2004-03-13
AT,Austin,2004-04-02
AT,Austin,2004-04-09
AT,Austin,2004-04-16
DV,Denver,2004-05-16
ST,Seattle,2004-03-08
ST,Seattle,2004-04-14
DV,Denver,2004-03-21
ST,Seattle,2004-05-25
ST,Seattle,2004-02-27
ST,Seattle,2004-04-21
AT,Austin,2004-01-11
DV,Denver,2004-03-09
ST,Seattle,2004-04-27
AT,Austin,2004-03-04
DV,Denver,2004-04-13
DV,Denver,2004-05-20
AT,Austin,2004-01-23
AT,Austin,2004-04-29
DV,Denver,2004-05-09
ST,Seattle,2004-04-15
DV,Denver,2004-06-07
DV,Denver,2004-05-26
ST,Seattle,2004-04-07
DV,Denver,2004-04-29
AT,Austin,2004-05-12
AT,Austin,2004-04-20
AT,Austin,2004-04-04
AT,Austin,2004-01-16
AT,Austin,2004-04-05
DV,Denver,2004-06-22
TP,Tampa,2004-04-28
DV,Denver,2004-03-14
DV,Denver,2004-06-15
TP,Tampa,2004-06-03
ST,Seattle,2004-04-28
ST,Seattle,2004-05-11
AT,Austin,2004-05-05
AT,Austin,2004-03-11
AT,Austin,2004-06-25
AT,Austin,2004-06-10
DV,Denver,2004-06-18
AT,Austin,2004-04-03
ST,Seattle,2004-02-22
AT,Austin,2004-03-14
DV,Denver,2004-05-19
AT,Austin,2004-04-01
ST,Seattle,2004-02-28
ST,Seattle,2004-06-10
DV,Denver,2004-03-27
ST,Seattle,2004-05-17
TP,Tampa,2004-03-25
AT,Austin,2004-02-16
AT,Austin,2004-02-27
TP,Tampa,2004-01-06
ST,Seattle,2004-06-25
ST,Seattle,2004-03-01
TP,Tampa,2004-05-04
DV,Denver,2004-04-04
AT,Austin,2004-02-19
AT,Austin,2004-05-13
ST,Seattle,2004-06-01
AT,Austin,2004-01-03
AT,Austin,2004-02-12
DV,Denver,2004-05-21
ST,Seattle,2004-04-19
ST,Seattle,2004-03-03
AT,Austin,2004-06-09
ST,Seattle,2004-05-19
DV,Denver,2004-04-22
TP,Tampa,2004-02-27
DV,Denver,2004-04-11
AT,Austin,2004-01-19
AT,Austin,2004-05-18
DV,Denver,2004-06-25
ST,Seattle,2004-05-04
AT,Austin,2004-04-08
ST,Seattle,2004-06-22
DV,Denver,2004-04-15
TP,Tampa,2004-05-05
ST,Seattle,2004-05-18
TP,Tampa,2004-01-21
AT,Austin,2004-01-06
AT,Austin,2004-03-19
AT,Austin,2004-04-14
DV,Denver,2004-06-04
AT,Austin,2004-05-07
ST,Seattle,2004-02-17
TP,Tampa,2004-05-12
AT,Austin,2004-01-26
AT,Austin,2004-02-14
AT,Austin,2004-06-14
DV,Denver,2004-04-27
TP,Tampa,2004-01-23
AT,Austin,2004-01-08
ST,Seattle,2004-04-20
AT,Austin,2004-04-13
AT,Austin,2004-02-28
DV,Denver,2004-03-29
AT,Austin,2004-03-07
TP,Tampa,2004-04-13
TP,Tampa,2004-03-17
AT,Austin,2004-03-09
AT,Austin,2004-01-20
DV,Denver,2004-04-25
DV,Denver,2004-05-10
AT,Austin,2004-01-13
TP,Tampa,2004-06-23
TP,Tampa,2004-04-29
DV,Denver,2004-03-22
TP,Tampa,2004-02-06
TP,Tampa,2004-06-07
DV,Denver,2004-04-26
ST,Seattle,2004-05-20
ST,Seattle,2004-03-12
AT,Austin,2004-01-22
ST,Seattle,2004-06-08
ST,Seattle,2004-05-24
AT,Austin,2004-01-10
DV,Denver,2004-04-17
AT,Austin,2004-01-09
DV,Denver,2004-06-05
AT,Austin,2004-01-30
ST,Seattle,2004-02-19
ST,Seattle,2004-03-15
DV,Denver,2004-06-24
AT,Austin,2004-01-12
ST,Seattle,2004-03-22
ST,Seattle,2004-03-07
DV,Denver,2004-03-08
ST,Seattle,2004-02-10
ST,Seattle,2004-03-18
ST,Seattle,2004-03-02
ST,Seattle,2004-03-17
DV,Denver,2004-03-31
AT,Austin,2004-02-24
DV,Denver,2004-04-30
ST,Seattle,2004-03-11
AT,Austin,2004-04-30
DV,Denver,2004-06-26
DV,Denver,2004-05-17
AT,Austin,2004-06-23
TP,Tampa,2004-05-24
AT,Austin,2004-02-04
AT,Austin,2004-01-18
AT,Austin,2004-03-29
AT,Austin,2004-01-31
ST,Seattle,2004-02-11
DV,Denver,2004-03-02
